"Constituency","Name","Gender","Party","Contact","Email","state"
"ABDASA","","","","","mlaabdasa@gujarat.gov.in","gujarat"
"MANDAVI","","","","","mlamandvi@gujarat.gov.in","gujarat"
"BHUJ","","","","","mlabhuj@gujarat.gov.in","gujarat"
"ANJAR","","","","","mlaanjar@gujarat.gov.in","gujarat"
"GANDHIDHAM","","","","","mlagandhidham@gujarat.gov.in","gujarat"
"RAPAR","","","","","mlarapar@gujarat.gov.in","gujarat"
"VAV","","","","","mlavav@gujarat.gov.in","gujarat"
"THARAD","","","","","mlatharad@gujarat.gov.in","gujarat"
"DHANERA","","","","","mladhanera@gujarat.gov.in","gujarat"
"DANTA","","","","","mladanta@gujarat.gov.in","gujarat"
"VADGAM","","","","","mlavadgam@gujarat.gov.in","gujarat"
"PALANPUR","","","","","mlapalanpur@gujarat.gov.in","gujarat"
"DEESA","","","","","mladeesa@gujarat.gov.in","gujarat"
"DEODAR","","","","","mladeodar@gujarat.gov.in","gujarat"
"KANKREJ","","","","","mlakankrej@gujarat.gov.in","gujarat"
"RADHANPUR","","","","","mlaradhanpur@gujarat.gov.in","gujarat"
"CHANASMA","","","","","mlachanasma@gujarat.gov.in","gujarat"
"PATAN","","","","","mlapatan@gujarat.gov.in","gujarat"
"SIDHAPUR","","","","","mlasidhpur@gujarat.gov.in","gujarat"
"KHERALU","","","","","mlakheralu@gujarat.gov.in","gujarat"
"UNJA","","","","","mlaunja@gujarat.gov.in","gujarat"
"VISNAGAR","","","","","mlavisnagar@gujarat.gov.in","gujarat"
"BECHARAJI","","","","","mlabecharaji@gujarat.gov.in","gujarat"
"KADI","","","","","mlakadi@gujarat.gov.in","gujarat"
"MEHSANA","","","","","mlamehsana@gujarat.gov.in","gujarat"
"VIJAPUR","","","","","mlavijapur@gujarat.gov.in","gujarat"
"HIMMATNAGAR","","","","","mlahimatnagar@gujarat.gov.in","gujarat"
"IDAR","","","","","mlaidar@gujarat.gov.in","gujarat"
"KHEDBHRAHMA","","","","","mlakhedbrahma@gujarat.gov.in","gujarat"
"BHILODA","","","","","mlabhiloda@gujarat.gov.in","gujarat"
"MODASA","","","","","mlamodasa@gujarat.gov.in","gujarat"
"BAYAD","","","","","mlabayad@gujarat.gov.in","gujarat"
"PRANTIJ","","","","","mlaprantij@gujarat.gov.in","gujarat"
"DAHEGAM","","","","","mladahegam@gujarat.gov.in","gujarat"
